Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
1200.0000	3.0000000	4.4135607	0.22657443	4465.3217	5145.0450	8.7770244	2.1416024	2.6106928	910.17315	0.72968639	undefined	undefined	vapor
1300.0000	3.0000000	4.1310065	0.24207176	4682.5405	5408.7558	8.9502030	2.1952510	2.6629234	938.69459	0.58142019	undefined	undefined	vapor
1400.0000	3.0000000	3.8827642	0.25754847	4904.8622	5677.5077	9.1158143	2.2449181	2.7114999	966.32665	0.46301523	undefined	undefined	vapor
1500.0000	3.0000000	3.6628805	0.27300918	5131.9063	5950.9338	9.2745244	2.2906943	2.7564218	993.16527	0.36703902	undefined	undefined	vapor
200.00000	3.5000000	866.13402	0.0011545557	849.01944	853.06038	2.3274512	3.3166797	4.4845892	1339.1438	-0.091269661	0.00013507883	0.66163190	liquid
300.00000	3.5000000	14.608521	0.068453200	2738.8064	2978.3926	6.4483992	1.8565412	2.6719414	555.44324	12.208248	1.9934047e-05	0.050333797	vapor
400.00000	3.5000000	11.826457	0.084556176	2927.2043	3223.1509	6.8427395	1.7170645	2.3223319	616.78030	7.4116422	2.4403788e-05	0.058586588	vapor
500.00000	3.5000000	10.081203	0.099194507	3104.4594	3451.6401	7.1592934	1.7264159	2.2671704	665.83259	4.9374354	2.8648633e-05	0.069418560	vapor
600.00000	3.5000000	8.8297442	0.11325356	3282.4706	3678.8581	7.4356473	1.7723094	2.2837902	708.75887	3.4878254	3.2748139e-05	0.081662668	vapor
700.00000	3.5000000	7.8729178	0.12701771	3464.6964	3909.2584	7.6854298	1.8313855	2.3269731	747.72415	2.5612577	3.6726430e-05	0.094780911	vapor
800.00000	3.5000000	7.1118294	0.14061080	3652.4832	4144.6210	7.9156070	1.8954371	2.3814401	783.83470	1.9330240	4.0592657e-05	0.10847580	vapor
900.00000	3.5000000	6.4894563	0.15409612	3846.3508	4385.6872	8.1303440	1.9604302	2.4402279	817.76530	1.4882801	4.4351745e-05	0.12256099	vapor
1000.0000	3.5000000	5.9698128	0.16750944	4046.4019	4632.6849	8.3323592	2.0240499	2.4996155	849.96458	1.1626669	4.8007620e-05	0.13691683	vapor
1100.0000	3.5000000	5.5287570	0.18087248	4252.5052	4885.5589	8.5235378	2.0849302	2.5574913	880.74538	0.91765853	undefined	undefined	vapor
1200.0000	3.5000000	5.1493529	0.19419916	4464.3956	5144.0926	8.7052529	2.1423099	2.6126686	910.33305	0.72902112	undefined	undefined	vapor
1300.0000	3.5000000	4.8193057	0.20749877	4681.7361	5407.9818	8.8785488	2.1958312	2.6645329	938.89444	0.58090531	undefined	undefined	vapor
1400.0000	3.5000000	4.5294416	0.22077777	4904.1579	5676.8801	9.0442504	2.2454033	2.7128310	966.55623	0.46261067	undefined	undefined	vapor
1500.0000	3.5000000	4.2727602	0.23404075	5131.2855	5950.4281	9.2030312	2.2911068	2.7575370	993.41702	0.36671689	undefined	undefined	vapor
200.00000	4.0000000	866.51041	0.0011540542	848.64928	853.26550	2.3266649	3.3163597	4.4817467	1340.9511	-0.091735816	0.00013520537	0.66204604	liquid
300.00000	4.0000000	16.986670	0.058869690	2726.2133	2961.6920	6.3639072	1.9194841	2.8185245	550.16268	12.136650	1.9885139e-05	0.051564624	vapor
400.00000	4.0000000	13.618179	0.073431259	2920.7477	3214.4727	6.7713562	1.7357753	2.3664752	614.37092	7.3957279	2.4402795e-05	0.059227397	vapor
500.00000	4.0000000	11.568469	0.086441864	3100.2543	3446.0218	7.0921838	1.7350223	2.2884166	664.50483	4.9290202	2.8665519e-05	0.069864665	vapor
600.00000	4.0000000	10.115465	0.098858531	3279.4334	3674.8675	7.3705284	1.7771636	2.2962514	707.99212	3.4825865	3.2771701e-05	0.082047461	vapor
700.00000	4.0000000	9.0109210	0.11097645	3462.3694	3906.2752	7.6214075	1.8344545	2.3351052	747.29223	2.5578304	3.6751813e-05	0.095161485	vapor
800.00000	4.0000000	8.1352374	0.12292204	3650.6298	4142.3180	7.8522519	1.8975291	2.3871209	783.61873	1.9306910	4.0617662e-05	0.10887780	vapor
900.00000	4.0000000	7.4206328	0.13475940	3844.8332	4383.8707	8.0674234	1.9619372	2.4443916	817.69566	1.4866353	4.4375389e-05	0.12299363	vapor
1000.0000	4.0000000	6.8247942	0.14652456	4045.1334	4631.2316	8.2697363	2.0251833	2.5027794	849.99756	1.1614722	4.8029510e-05	0.13738149	vapor
1100.0000	4.0000000	6.3195399	0.15823937	4251.4280	4884.3854	8.4611268	2.0858126	2.5599641	880.85209	0.91676884	undefined	undefined	vapor
1200.0000	4.0000000	5.8851998	0.16991776	4463.4693	5143.1403	8.6429976	2.1430167	2.6146455	910.49365	0.72834451	undefined	undefined	vapor
1300.0000	4.0000000	5.5075455	0.18156909	4680.9316	5407.2080	8.8164108	2.1964109	2.6661427	939.09487	0.58038153	undefined	undefined	vapor
1400.0000	4.0000000	5.1759891	0.19319979	4903.4535	5676.2527	8.9822027	2.2458881	2.7141622	966.78629	0.46219897	undefined	undefined	vapor
1500.0000	4.0000000	4.8824674	0.20481448	5130.6647	5949.9226	9.1410544	2.2915190	2.7586520	993.66918	0.36638893	undefined	undefined	vapor
200.00000	4.5000000	866.88558	0.0011535548	848.28052	853.47152	2.3258810	3.3160405	4.4789242	1342.7520	-0.092198332	0.00013533165	0.66245955	liquid
300.00000	4.5000000	19.463700	0.051377693	2712.9583	2944.1580	6.2853516	1.9878840	2.9840334	544.60553	12.050369	1.9838332e-05	0.052880956	vapor
400.00000	4.5000000	15.438878	0.064771547	2914.1757	3205.6477	6.7070450	1.7550735	2.4126771	611.92126	7.3775593	2.4403576e-05	0.059886564	vapor
500.00000	4.5000000	13.068283	0.076521144	3096.0152	3440.3604	7.0322926	1.7437394	2.3101325	663.16895	4.9201041	2.8683581e-05	0.070318934	vapor
600.00000	4.5000000	11.407485	0.087661740	3276.3834	3670.8612	7.3126614	1.7820435	2.3088603	707.22434	3.4771771	3.2796047e-05	0.082437259	vapor
700.00000	4.5000000	10.152315	0.098499705	3460.0369	3903.2856	7.5646472	1.8375295	2.3432931	746.86108	2.5543238	3.6777731e-05	0.095545503	vapor
800.00000	4.5000000	9.1605218	0.10916409	3648.7739	4140.0122	7.7961625	1.8996220	2.3928251	783.40391	1.9283130	4.0643038e-05	0.10928236	vapor
900.00000	4.5000000	8.3528402	0.11971976	3843.3143	4382.0533	8.0117701	1.9634436	2.4485658	817.62717	1.4849617	4.4399295e-05	0.12342819	vapor
1000.0000	4.5000000	7.6803118	0.13020305	4043.8643	4629.7780	8.2143811	2.0263158	2.5059482	850.03155	1.1602575	4.8051586e-05	0.13784762	vapor
1100.0000	4.5000000	7.1105604	0.14063589	4250.3505	4883.2120	8.4059838	2.0866943	2.5624392	880.95965	0.91586439	undefined	undefined	vapor
1200.0000	4.5000000	6.6211005	0.15103230	4462.5429	5142.1882	8.5880104	2.1437229	2.6166233	910.65495	0.72765664	undefined	undefined	vapor
1300.0000	4.5000000	6.1957251	0.16140161	4680.1272	5406.4344	8.7615410	2.1969900	2.6677529	939.29589	0.57984892	undefined	undefined	vapor
1400.0000	4.5000000	5.8224062	0.17175030	4902.7492	5675.6256	8.9274233	2.2463725	2.7154934	967.01686	0.46178018	undefined	undefined	vapor
1500.0000	4.5000000	5.4920018	0.18208297	5130.0440	5949.4173	9.0863457	2.2919308	2.7597670	993.92177	0.36605519	undefined	undefined	vapor
200.00000	5.0000000	867.25955	0.0011530574	847.91316	853.67844	2.3250996	3.3157223	4.4761215	1344.5466	-0.092657254	0.00013545769	0.66287244	liquid
300.00000	5.0000000	22.052541	0.045346248	2698.9689	2925.7002	6.2110471	2.0624112	3.1722115	538.73885	11.950427	1.9793825e-05	0.054297707	vapor
400.00000	5.0000000	17.289871	0.057837331	2907.4849	3196.6715	6.6482650	1.7749660	2.4610444	609.43035	7.3571856	2.4406197e-05	0.060565114	vapor
500.00000	5.0000000	14.580922	0.068582770	3091.7417	3434.6555	6.9780842	1.7525665	2.3323281	661.82509	4.9106902	2.8702837e-05	0.070781586	vapor
600.00000	5.0000000	12.705878	0.078703729	3273.3206	3666.8392	7.2605114	1.7869487	2.3216181	706.45568	3.4715975	3.2821181e-05	0.082832133	vapor
700.00000	5.0000000	11.297120	0.088518138	3457.6990	3900.2897	7.5136142	1.8406105	2.3515367	746.43081	2.5507381	3.6804183e-05	0.095932989	vapor
800.00000	5.0000000	10.187688	0.098157699	3646.9154	4137.7039	7.7458040	1.9017156	2.3985527	783.19033	1.9258902	4.0668784e-05	0.10968948	vapor
900.00000	5.0000000	9.2860791	0.10768808	3841.7943	4380.2347	7.9618490	1.9649496	2.4527506	817.55986	1.4832593	4.4423461e-05	0.12386467	vapor
1000.0000	5.0000000	8.5363647	0.11714589	4042.5947	4628.3241	8.1647589	2.0274476	2.5091219	850.06657	1.1590227	4.8073848e-05	0.13831519	vapor
1100.0000	5.0000000	7.9018173	0.12655317	4249.2728	4882.0386	8.3565740	2.0875752	2.5649166	881.06809	0.91494530	undefined	undefined	vapor
1200.0000	5.0000000	7.3570539	0.13592397	4461.6165	5141.2363	8.5387565	2.1444285	2.6186022	910.81699	0.72695762	undefined	undefined	vapor
