Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
222.42055	2.4289000	837.10510	0.0011945931	951.89554	954.79709	2.5401008	3.2398780	4.6313464	1255.7908	-0.054009736	0.00012037430	0.64324946	0.032503949	12.155827	0.082265071	2601.7696	2801.5833	6.2666866	2.2362254	3.3751011	504.72132	20.197015	1.6438693e-05	0.043158049
223.21325	2.4655500	836.07757	0.0011960613	955.53069	958.47964	2.5474375	3.2372814	4.6369463	1252.9135	-0.052571154	0.00011992422	0.64257929	0.032319478	12.337274	0.081055180	2601.9237	2801.7693	6.2610275	2.2424818	3.3905195	504.69843	20.060814	1.6466364e-05	0.043341232
223.99691	2.5022000	835.05795	0.0011975217	959.12800	962.12444	2.5546864	3.2347257	4.6425443	1250.0568	-0.051134621	0.00011948232	0.64191164	0.032137018	12.518861	0.079879472	2602.0678	2801.9422	6.2554391	2.2486845	3.4058994	504.67219	19.927280	1.6493754e-05	0.043523503
224.77176	2.5388500	834.04605	0.0011989746	962.68846	965.73247	2.5618499	3.2322096	4.6481407	1247.2202	-0.049699993	0.00011904832	0.64124649	0.031956520	12.700590	0.078736501	2602.2022	2802.1024	6.2499191	2.2548349	3.4212428	504.64269	19.796324	1.6520869e-05	0.043704888
225.53803	2.5755000	833.04167	0.0012004201	966.21302	969.30470	2.5689305	3.2297321	4.6537360	1244.4034	-0.048267128	0.00011862195	0.64058381	0.031777934	12.882464	0.077624902	2602.3272	2802.2501	6.2444657	2.2609344	3.4365516	504.61004	19.667864	1.6547718e-05	0.043885413
226.29594	2.6121500	832.04462	0.0012018586	969.70260	972.84204	2.5759302	3.2272923	4.6593307	1241.6058	-0.046835891	0.00011820297	0.63992358	0.031601215	13.064486	0.076543384	2602.4430	2802.3858	6.2390769	2.2669841	3.4518276	504.57431	19.541818	1.6574307e-05	0.044065105
227.04570	2.6488000	831.05473	0.0012032902	973.15808	976.34536	2.5828511	3.2248890	4.6649251	1238.8271	-0.045406149	0.00011779113	0.63926578	0.031426318	13.246660	0.075490729	2602.5499	2802.5097	6.2337510	2.2729853	3.4670727	504.53559	19.418111	1.6600645e-05	0.044243987
227.78750	2.6854500	830.07182	0.0012047150	976.58031	979.81551	2.5896954	3.2225214	4.6705195	1236.0668	-0.043977777	0.00011738621	0.63861038	0.031253202	13.428987	0.074465781	2602.6480	2802.6222	6.2284861	2.2789392	3.4822887	504.49396	19.296668	1.6626738e-05	0.044422083
228.52153	2.7221000	829.09573	0.0012061333	979.97010	983.25332	2.5964650	3.2201886	4.6761144	1233.3247	-0.042550650	0.00011698799	0.63795737	0.031081824	13.611471	0.073467447	2602.7377	2802.7234	6.2232805	2.2848469	3.4974771	504.44950	19.177420	1.6652592e-05	0.044599417
229.24800	2.7587500	828.12629	0.0012075453	983.32823	986.65955	2.6031618	3.2178896	4.6817102	1230.6002	-0.041124650	0.00011659625	0.63730671	0.030912145	13.794114	0.072494691	2602.8190	2802.8137	6.2181327	2.2907096	3.5126398	504.40228	19.060299	1.6678215e-05	0.044776009
229.96707	2.7954000	827.16335	0.0012089510	986.65547	990.03497	2.6097875	3.2156237	4.6873072	1227.8931	-0.039699661	0.00011621080	0.63665839	0.030744127	13.976918	0.071546531	2602.8922	2802.8933	6.2130411	2.2965282	3.5277783	504.35237	18.945242	1.6703612e-05	0.044951883
230.67891	2.8320500	826.20676	0.0012103508	989.95253	993.38030	2.6163440	3.2133901	4.6929057	1225.2030	-0.038275572	0.00011583145	0.63601239	0.030577733	14.159887	0.070622033	2602.9574	2802.9626	6.2080042	2.3023039	3.5428941	504.29985	18.832187	1.6728788e-05	0.045127057
231.38370	2.8687000	825.25637	0.0012117447	993.22011	996.69624	2.6228328	3.2111879	4.6985062	1222.5296	-0.036852273	0.00011545802	0.63536868	0.030412928	14.343022	0.069720312	2603.0150	2803.0216	6.2030205	2.3080375	3.5579888	504.24476	18.721074	1.6753751e-05	0.045301554
232.08159	2.9053500	824.31205	0.0012131328	996.45890	999.98348	2.6292557	3.2090164	4.7041088	1219.8725	-0.035429659	0.00011509032	0.63472723	0.030249677	14.526327	0.068840525	2603.0649	2803.0707	6.1980888	2.3137302	3.5730640	504.18719	18.611847	1.6778505e-05	0.045475391
232.77275	2.9420000	823.37366	0.0012145154	999.66955	1003.2427	2.6356141	3.2068750	4.7097141	1217.2314	-0.034007628	0.00011472820	0.63408803	0.030087947	14.709804	0.067981873	2603.1074	2803.1101	6.1932076	2.3193827	3.5881209	504.12718	18.504453	1.6803055e-05	0.045648589
233.45731	2.9786500	822.44107	0.0012158926	1002.8527	1006.4744	2.6419097	3.2047628	4.7153222	1214.6061	-0.032586081	0.00011437149	0.63345105	0.029927707	14.893454	0.067143591	2603.1427	2803.1400	6.1883757	2.3249961	3.6031611	504.06480	18.398838	1.6827408e-05	0.045821165
